Symbol,Company Name,Market Cap,Revenue,Op. Income,Net Income,EPS,FCF
SAP,SAP SE,307916023771,42220000000,11479422780,7695294118,6.53,9017451960
KO,The Coca-Cola Company,282621828439,47062000000,13158000000,12183000000,2.82,-690000000
WFC,Wells Fargo & Company,272324537177,81715000000,23381000000,19483000000,5.84,-9143000000
TMUS,"T-Mobile US, Inc.",267253258954,84052000000,19439000000,12215000000,10.59,18573000000
CSCO,"Cisco Systems, Inc.",265733899181,56654000000,11760000000,10180000000,2.55,13288000000
IBM,International Business Machines Corporation,264840235693,64040000000,8077000000,5833000000,6.18,12257000000
AMD,"Advanced Micro Devices, Inc.",258778654648,29600000000,2267000000,2834000000,1.74,4043000000
PM,Philip Morris International Inc.,256666015778,39058000000,14169000000,8232000000,5.27,8989000000
MS,Morgan Stanley,255589317893,66137000000,19818000000,14141000000,8.83,-20941000000
GS,"The Goldman Sachs Group, Inc.",242936703541,56213000000,19849000000,14759000000,45.33,-23721000000
TM,Toyota Motor Corporation,258262695830,334614302486,31319412147,29510248619,22.45,11730216154
NVO,Novo Nordisk A/S,247106247034,49046855346,22388253923,17463522013,3.92,10225922268
HSBC,HSBC Holdings plc,241194586400,65854000000,29397000000,22917000000,6.20,65305000000
NVS,Novartis AG,239368246696,55186000000,16684000000,13654000000,6.85,19383000000
AXP,American Express Company,237769039321,63435000000,12840000000,10146000000,14.25,11095000000
ABT,Abbott Laboratories,232438301320,43109000000,7515000000,13979000000,7.97,6775000000
CRM,"Salesforce, Inc.",233086216988,39502000000,7987000000,6663000000,6.89,12497000000
AZN,AstraZeneca PLC,228646341497,56501000000,11324000000,8295000000,2.65,11188000000
APP,AppLovin Corporation,226568461302,5313789000,2764067000,2428775000,7.03,2850867000
LIN,Linde plc,222455371076,33245000000,8736000000,6714000000,14.07,5069000000
RTX,RTX Corporation,218650807440,83599000000,7884000000,6146000000,4.55,3183000000
CAT,Caterpillar Inc.,218198743176,63139000000,11510000000,9437000000,19.64,8485000000
MCD,McDonald's Corporation,217820617434,26060000000,11938000000,8392000000,11.67,7013000000
BX,Blackstone Inc.,210396040627,13747117000,7004675000,2863804000,3.71,3280279000
SHEL,Shell plc,216973482947,289029000000,34709000000,16094000000,5.06,36707000000
UBER,"Uber Technologies, Inc.",205309468652,47331000000,4509000000,12626000000,5.86,8540000000
RY,Royal Bank of Canada,206059894404,47058394161,20284382254,13977372263,9.65,60930022366
DIS,The Walt Disney Company,204011552031,94535000000,11994000000,11551000000,6.39,11548000000
T,AT&T Inc.,202427412939,123984000000,19697000000,12664000000,1.76,19624000000
MRK,"Merck & Co., Inc.",196225849056,63616000000,19085000000,16406000000,6.49,14722000000
INTU,Intuit Inc.,194678379300,18831000000,4923000000,3869000000,13.67,6083000000
NOW,"ServiceNow, Inc.",194238442944,12057000000,1601000000,1661000000,7.95,3849000000
PEP,"PepsiCo, Inc.",192273202530,91748000000,10494000000,7550000000,5.49,7448000000
C,Citigroup Inc.,190385660611,83160000000,18859000000,14177000000,6.76,-93622000000
PDD,PDD Holdings Inc.,181588180034,56971003338,12888985884,13619279138,9.20,13099441674
VZ,Verizon Communications Inc.,183873924877,137000000000,29497000000,18193000000,4.29,20128000000
SHOP,Shopify Inc.,182281160234,10014000000,1242000000,2345000000,1.79,1817000000
QCOM,QUALCOMM Incorporated,182566800000,43257000000,12019000000,11578000000,10.36,11622000000
BKNG,Booking Holdings Inc.,179810041980,25025000000,8220000000,4813000000,144.08,9240000000
ANET,Arista Networks Inc,179103316793,7950972000,3429902000,3251534000,2.55,3975342000
BLK,"BlackRock, Inc.",179080141574,21573000000,7510000000,6404000000,41.37,3884000000
MUFG,"Mitsubishi UFJ Financial Group, Inc.",186055082402,37086014735,12085357851,8485820496,0.72,4290325729
MU,"Micron Technology, Inc.",176004804634,33813000000,7638000000,6225000000,5.56,1881000000
TMO,Thermo Fisher Scientific Inc.,175302651053,43212000000,7408000000,6584000000,17.29,6220000000
SCHW,The Charles Schwab Corporation,173280834378,21626000000,9405000000,6789000000,3.72,17180000000
SONY,Sony Group Corporation,179520896073,86788881215,9952317997,7920379834,1.31,13329188827
TXN,Texas Instruments Incorporated,167781264539,16675000000,5818000000,5041000000,5.47,1503000000
BA,The Boeing Company,167307451596,75327000000,-9351000000,-10913000000,-16.50,-8521000000
INTC,Intel Corporation,155379357328,53070000000,-12122000000,-20504000000,-4.75,-10943000000
GEV,GE Vernova Inc.,164741761770,36615000000,655000000,1156000000,4.15,2754000000
HDB,HDFC Bank Limited,58283857386,25627522818,10418371397,7880977065,1.58,12736481394
AMAT,"Applied Materials, Inc.",162459666693,28613000000,8623000000,6832000000,8.39,5823000000
LRCX,Lam Research Corporation,162430833559,18435591000,5900968000,5358217000,4.15,5414078000
TJX,"The TJX Companies, Inc.",159259721469,57925000000,6476000000,4974000000,4.39,4041000000
ISRG,"Intuitive Surgical, Inc.",158131156327,9145000000,2633700000,2607600000,7.18,1994300000
NEE,"NextEra Energy, Inc.",156197342800,25899000000,7964000000,5916000000,2.86,3735000000
SAN,"Banco Santander, S.A.",157388156002,113921395620,14587310013,13936980102,0.96,5612757246
ADBE,Adobe Inc.,150851966353,23181000000,8402000000,6957000000,16.04,9599000000
APH,Amphenol Corporation,149684928209,18817900000,4216800000,3179700000,2.51,2825400000
ACN,Accenture plc,148843181410,68482536000,10529641000,7948771000,12.57,10243923000
SPGI,S&P Global Inc.,148736054000,14699000000,5765000000,4013000000,13.00,5411000000
ARM,Arm Holdings plc,147857580000,4121000000,763000000,699000000,0.66,675000000
SPOT,Spotify Technology S.A.,145889562843,19544705882,2165220645,948235294,4.54,3307650173
UL,Unilever PLC,146741034963,70318823529,10272869056,6535294118,2.64,10920855436
AMGN,Amgen Inc.,146962018086,34917000000,8192000000,6619000000,12.23,10605000000
BSX,Boston Scientific Corporation,145478375426,18494000000,3151000000,2505000000,1.68,3496000000
LOW,"Lowe's Companies, Inc.",144197900069,83613000000,10329000000,6858000000,12.19,7778000000
COF,Capital One Financial Corporation,143283852409,23773000000,-523000000,-301000000,1.95,18224000000
PGR,The Progressive Corporation,142718610785,82408200000,13409500000,10431900000,17.75,16556100000
ETN,Eaton Corporation plc,142320294000,25990000000,4909000000,3926000000,9.94,3336000000
SYK,Stryker Corporation,141079039108,23818000000,3616000000,2918000000,7.55,4024000000
KLAC,KLA Corporation,140444772690,12156162000,4946614000,4061643000,30.37,3741855000
UNP,Union Pacific Corporation,139482970838,24393000000,9837000000,6935000000,11.51,6261000000
BHP,BHP Group Limited,69423105950,51262000000,19311000000,9019000000,3.55,9371000000
GILD,"Gilead Sciences, Inc.",139094455284,28863000000,8050000000,6311000000,5.02,9369000000
TTE,TotalEnergies SE,142488417121,190342000000,21606000000,13952000000,6.05,9518000000
TD,The Toronto-Dominion Bank,137799076513,48315942029,17532360429,12194202899,6.99,20806052566
PANW,"Palo Alto Networks, Inc.",135365293000,9221500000,1242900000,1133900000,1.60,3469800000
PFE,Pfizer Inc.,135088679880,63833000000,10535000000,10752000000,1.88,12438000000
DHR,Danaher Corporation,132354975896,24013000000,4417000000,3413000000,4.70,4884000000
HON,Honeywell International Inc.,132179115243,39990000000,8327000000,5717000000,8.79,4991000000
UBS,UBS Group AG,129774424986,54012222222,7371000000,5085000000,1.52,1379000000
DE,Deere & Company,125431787326,44433000000,9628000000,5207000000,19.16,5987000000
MELI,"MercadoLibre, Inc.",125142414398,24096000000,2965000000,2053000000,40.48,7382000000
COP,ConocoPhillips,122995838787,60182000000,14845000000,9185000000,7.45,6923000000
ADI,"Analog Devices, Inc.",122737701350,10386795000,2556677000,1957676000,3.92,3737292000
MDT,Medtronic plc,120853769183,34200000000,6120000000,4660000000,3.63,5303000000
CRWD,"CrowdStrike Holdings, Inc.",119258922682,4341102000,-378659000,-296986000,-1.19,1037934000
KKR,KKR & Co. Inc.,119396038637,16249076000,236943000,2012568000,2.11,4567110000
ADP,"Automatic Data Processing, Inc.",118086236220,20560900000,5411900000,4079700000,9.98,4403500000
CMCSA,Comcast Corporation,116817214668,124184000000,22505000000,22904000000,6.05,16578000000
WELL,Welltower Inc.,116977657256,9277824000,1723330000,1129665000,1.76,1590237000
BUD,Anheuser-Busch InBev SA/NV,117177327603,58520000000,15567000000,7115000000,3.50,11790000000
BTI,British American Tobacco p.l.c.,115590102490,35063013699,4769537354,4230136986,1.91,11804840267
LMT,Lockheed Martin Corporation,113800206897,71844000000,5864000000,4204000000,17.80,3329000000
DASH,"DoorDash, Inc.",112125820731,11895000000,542000000,781000000,1.80,1713000000
CB,Chubb Limited,111908378342,57213000000,12236000000,9198000000,22.66,14000000000
SNY,Sanofi,112888653014,50740000000,9343207792,10736470588,4.33,11460000821
RIO,Rio Tinto Group,105214085244,53658000000,15653000000,11552000000,7.07,6008000000
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",115038297297,38555804731,,10216861039,2.07,-2972943870
MO,"Altria Group, Inc.",110385634522,23594000000,11052000000,8787000000,5.17,8728000000
IBN,ICICI Bank Limited,109408460770,34470738860,16163335277,5971120466,1.66,13307326985
SE,Sea Limited,109275037572,19379246000,1452289000,1195142000,1.94,4248369000
HOOD,"Robinhood Markets, Inc.",108222848929,3567000000,1516000000,1788000000,1.97,4500000000
ENB,Enbridge Inc.,108131730866,47063503650,7630496133,4543065693,2.07,3500721687
PLD,"Prologis, Inc.",105975513970,8560569000,4463352000,3442871000,3.70,-1688186000
SMFG,"Sumitomo Mitsui Financial Group, Inc.",66017458560,25721131949,-12770611526,3202491628,0.49,19887316337
BN,Brookfield Corporation,102931113546,76076000000,16943000000,841000000,0.44,-1264000000
SO,The Southern Company,103987481384,28363000000,7200000000,4283000000,3.87,-796000000
CEG,Constellation Energy Corporation,103487472100,24821000000,3841000000,3009000000,9.59,-2486000000
NKE,"NIKE, Inc.",102365361311,46309000000,3702000000,3219000000,2.16,3268000000
VRTX,Vertex Pharmaceuticals Incorporated,98898847763,11418800000,3925700000,3637600000,14.02,3499700000
MMC,"Marsh & McLennan Companies, Inc.",98108494021,25799000000,6084000000,4127000000,8.34,4654000000
HCA,"HCA Healthcare, Inc.",98061995980,72698000000,11078000000,5971000000,23.79,7292000000
CME,CME Group Inc.,97402706912,6444000000,4208600000,3721400000,10.33,4107400000
CVS,CVS Health Corporation,96101089434,386641000000,8955000000,4531000000,3.59,4780000000
ICE,"Intercontinental Exchange, Inc.",96012524550,12554000000,4698000000,3003000000,5.21,4078000000
DUK,Duke Energy Corporation,95663361930,31271000000,8429000000,4753000000,6.15,-563000000
CDNS,"Cadence Design Systems, Inc.",95401473900,5089287000,1410248000,1011951000,3.70,1585090000
SCCO,Southern Copper Corporation,94254886557,11888200000,5880100000,3609900000,4.58,3462900000
PH,Parker-Hannifin Corporation,96317072709,19850000000,4060000000,3531000000,27.12,3373000000
SBUX,Starbucks Corporation,94789413000,36689300000,3699100000,2632500000,2.32,2253600000
MCK,McKesson Corporation,94600550096,377595000000,4429000000,3164000000,24.99,5666000000
NTES,"NetEase, Inc.",93723983762,15254227955,4842168203,4757591238,7.40,6222869023
BAM,Brookfield Asset Management Ltd.,93705423795,4351000000,2456000000,2433000000,1.43,1748000000
RBLX,Roblox Corporation,93622448177,4023020000,-1100209000,-952328000,-1.43,941857000
BMO,Bank of Montreal,94833702896,26197080292,8282443763,6366423358,8.33,372196224
NEM,Newmont Corporation,93642839056,20584000000,8405000000,6277000000,5.56,8557000000
TT,Trane Technologies plc,92395052518,20750100000,3795400000,2856000000,12.60,2816100000
BP,BP p.l.c.,92001997250,191975000000,11655000000,563000000,0.26,9431000000
AMT,American Tower Corporation,90967165481,10259600000,4671100000,1292800000,2.76,3741100000
SNPS,"Synopsys, Inc.",90597824721,6435304000,1104336000,1997630000,12.74,1376670000
ORLY,"O'Reilly Automotive, Inc.",90025497748,17122020000,3291314000,2423674000,2.80,1783520000
BMY,Bristol-Myers Squibb Company,89803429173,47704000000,6593000000,5049000000,2.48,14578000000
RCL,Royal Caribbean Cruises Ltd.,88792365777,17183000000,4534000000,3603000000,13.59,3587000000
GD,General Dynamics Corporation,88859260596,50273000000,5177000000,4086000000,14.89,4130000000
MSTR,Strategy Inc,87470964138,462322000,6661576000,4732734000,11.04,-133633000
WM,"Waste Management, Inc.",88094957432,23950000000,4202000000,2721000000,6.74,2163000000
DELL,Dell Technologies Inc.,87918127038,101451000000,6913000000,4915000000,6.96,4860000000
MCO,Moody's Corporation,85507438987,7307000000,2963000000,2132000000,11.77,2371000000
RELX,RELX PLC,86158573539,11792500000,3784053799,2417500000,1.39,2852139911
NOC,Northrop Grumman Corporation,85125146459,40501000000,3976000000,3945000000,27.12,1308000000
SHW,The Sherwin-Williams Company,85249554074,23079900000,3688100000,2544900000,10.08,2154600000
RACE,Ferrari N.V.,84720162764,8186215294,2375286881,1875644706,10.48,2176069098
CTAS,Cintas Corporation,82298615022,10340181000,2359726000,1812281000,4.40,1780993000
AEM,Agnico Eagle Mines Limited,82092724737,9663658000,4414477000,2959815000,5.88,3071654000
MDLZ,"Mondelez International, Inc.",81984381304,37105000000,4616000000,3641000000,2.73,2864000000
MFG,"Mizuho Financial Group, Inc.",85602551077,21205405224,5112004309,3974501005,0.31,-1244428735
PBR,Petróleo Brasileiro S.A. - Petrobras,84296003976,91416000000,26876000000,7528000000,1.16,23340000000
PBR.A,Petróleo Brasileiro S.A. - Petrobras,82172051456,102409000000,38033000000,24884000000,2.14,31098000000
MMM,3M Company,81391144763,24602000000,4787000000,3939000000,7.20,-1954000000
CVNA,Carvana Co.,79472475403,16274000000,1502000000,563000000,4.01,619000000
COIN,"Coinbase Global, Inc.",80316301310,7008333000,1884738000,2860612000,10.38,1806909000
GSK,GSK plc,81259368995,43330136986,6882194136,4689041096,2.27,8702134232
PNC,"The PNC Financial Services Group, Inc.",80068916908,22112000000,8509000000,5870000000,14.61,6058000000
BNS,The Bank of Nova Scotia,80053730455,26616058394,7069347376,4890510949,3.80,13259962022
APO,"Apollo Global Management, Inc.",78728039538,25418000000,6093000000,3272000000,5.35,4124000000
WMB,"The Williams Companies, Inc.",78167567102,11225000000,3670000000,2426000000,1.99,1792000000
AJG,Arthur J. Gallagher & Co.,77983794781,12471000000,2784100000,1641100000,6.61,1971800000
HWM,Howmet Aerospace Inc.,77863849094,7721000000,1881000000,1397000000,3.42,1018000000
EQIX,"Equinix, Inc.",77345822695,8943000000,1463000000,994000000,10.16,-269000000
BK,The Bank of New York Mellon Corporation,77245026576,19315000000,6928000000,4780000000,6.55,2380000000
USB,U.S. Bancorp,76938006556,25560000000,8632000000,6518000000,4.19,7484000000
ECL,Ecolab Inc.,76862351152,15723900000,2893000000,2136100000,7.48,1624100000
AON,Aon plc,76780318660,16752000000,4034000000,2603000000,11.95,2912000000
CI,The Cigna Group,76386807223,262023000000,9026000000,5018000000,18.26,3944000000
NU,Nu Holdings Ltd.,76244038581,12848642000,3153098000,2300067000,0.47,3653594000
CRH,CRH plc,76461182631,36347000000,5182000000,3304000000,4.78,1428000000
SNOW,Snowflake Inc.,74751181465,4115907000,-1539668000,-1379862000,-4.14,735292000
ITW,Illinois Tool Works Inc.,76093160000,15790000000,4102000000,3365000000,11.41,2738000000
MSI,"Motorola Solutions, Inc.",76058009689,11094000000,2799000000,2116000000,12.43,2384000000
ABNB,"Airbnb, Inc.",77067091570,11580000000,2605000000,2625000000,4.13,4308000000
NET,"Cloudflare, Inc.",75389052943,1881431000,-186024000,-117079000,-0.34,179180000
CM,Canadian Imperial Bank of Commerce,75071879941,20564963504,7583318424,5700000000,6.04,11620713367
ITUB,Itaú Unibanco Holding S.A.,73174458362,21964239482,10540075229,6648058252,0.61,1087448771
ING,ING Groep N.V.,80560698420,21062068966,8190340416,5472413793,1.40,7791726654
TDG,TransDigm Group Incorporated,73014191280,8579000000,3947000000,1751000000,30.14,1906000000
EMR,Emerson Electric Co.,72376080000,17779000000,2979000000,2652000000,4.66,2741000000
ELV,"Elevance Health, Inc.",71743908735,189215000000,8393000000,5360000000,23.56,5337000000
MAR,"Marriott International, Inc.",71721875642,25691000000,3880000000,2467000000,8.88,1682000000
MRVL,"Marvell Technology, Inc.",71713625342,7234900000,93100000,-103400000,-0.13,1557400000
BCS,Barclays PLC,74140346797,38387837838,15144995549,9482432432,2.19,
RSG,"Republic Services, Inc.",71250772282,16366200000,3339100000,2122700000,6.76,2405700000
UPS,"United Parcel Service, Inc.",70963313184,90313000000,8399000000,5730000000,6.72,3539000000
TRI,Thomson Reuters Corporation,70766986422,7318000000,2136000000,1635000000,3.62,1887000000
FI,"Fiserv, Inc.",70427932401,21112000000,6361000000,3379000000,5.99,5157000000
NGG,National Grid plc,70996489200,28128571429,6560635114,10125974026,12.74,-2616723905
VST,Vistra Corp.,70210347539,18508000000,3582000000,2196000000,6.27,1720000000
JCI,Johnson Controls International plc,70025785934,20082000000,2350000000,2231000000,3.36,2894000000
AZO,"AutoZone, Inc.",70227584461,18901372000,3710771000,2563504000,147.61,2002423000
SPG,"Simon Property Group, Inc.",60527010213,6034413000,3075328000,2112224000,6.47,3197687000
ADSK,"Autodesk, Inc.",69256729044,6605000000,1389000000,1043000000,4.82,1884000000
EPD,Enterprise Products Partners L.P.,68486776496,54756000000,6916000000,5864000000,2.69,4211000000
DB,Deutsche Bank Aktiengesellschaft,68725134937,30911458333,7863293176,4522916667,1.93,-34122751355
CNQ,Canadian Natural Resources Limited,68048571427,27735766423,7790631710,6073722628,2.88,5719640664
GLW,Corning Incorporated,67972694718,14206000000,1514000000,819000000,0.93,1274000000
INFY,Infosys Limited,68480404569,19277000000,4071000000,3158000000,0.77,4088000000
CP,Canadian Pacific Kansas City Limited,67480440680,10888321168,3863121583,3052554745,3.28,1845051565
NSC,Norfolk Southern Corporation,66743162789,12178000000,5048000000,3350000000,14.80,2578000000
WDAY,"Workday, Inc.",65861266912,8959000000,527000000,583000000,2.15,2392000000
LYG,Lloyds Banking Group plc,68254348534,42851250000,8022162719,4903750000,0.31,-11434705561
EQNR,Equinor ASA,66963361833,103774000000,30928000000,8806000000,3.11,7933000000
FTNT,"Fortinet, Inc.",64611551903,6337900000,1956800000,1939600000,2.51,2032700000
CL,Colgate-Palmolive Company,64326294666,19999000000,4284000000,2909000000,3.56,3370000000
PYPL,"PayPal Holdings, Inc.",64296966657,32292000000,5866000000,4679000000,4.67,5296000000
TEL,TE Connectivity plc,64131302807,16581000000,2946000000,1455000000,4.85,2893000000
EOG,"EOG Resources, Inc.",64050487631,22697000000,7287000000,5732000000,10.32,4549000000
MNST,Monster Beverage Corporation,63799817869,7659165000,2062507000,1573417000,1.61,1807613000
ZTS,Zoetis Inc.,63596828232,9385000000,3533000000,2612000000,5.81,2219000000
CSX,CSX Corporation,63404061246,14155000000,4784000000,3102000000,1.63,2078000000
AMX,"América Móvil, S.A.B. de C.V.",63060290361,41709241075,9825593350,1323966699,0.92,6909720082
KMI,"Kinder Morgan, Inc.",62684809547,15969000000,4420000000,2724000000,1.22,2728000000
TRV,"The Travelers Companies, Inc.",62533175676,47838000000,6897000000,5246000000,22.61,9633000000
CRWV,"CoreWeave, Inc.",59580637136,3525791000,,-1103772000,-2.53,
HLT,Hilton Worldwide Holdings Inc.,61561964848,11482000000,2426000000,1589000000,6.50,2147000000
URI,"United Rentals, Inc.",60948509364,15749000000,4016000000,2537000000,38.64,2141000000
PWR,"Quanta Services, Inc.",59997044852,26052930000,1456194000,971813000,6.46,1358244000
MPC,Marathon Petroleum Corporation,60405795195,134790000000,5374000000,2135000000,6.84,3698000000
ET,Energy Transfer LP,59934619531,80575000000,9260000000,4469000000,1.29,5702000000
AFL,Aflac Incorporated,59558834726,15910000000,3396000000,2437000000,4.39,2591000000
DLR,"Digital Realty Trust, Inc.",58476507585,5767863000,720055000,1342168000,3.81,969350000
COR,"Cencora, Inc.",59520509467,316654371000,2733191000,1897255000,9.74,1141589000
APD,"Air Products and Chemicals, Inc.",59372860079,12057900000,-112300000,1550500000,6.95,-4627500000
TFC,Truist Financial Corporation,59340191343,18166000000,6312000000,4889000000,3.68,3969000000
B,Barrick Mining Corporation,58822665879,13824000000,5607000000,2764000000,1.59,1715000000
CPNG,"Coupang, Inc.",58681128818,32263000000,724000000,365000000,0.20,784000000
ALNY,"Alnylam Pharmaceuticals, Inc.",58513672296,2461963000,-180186000,-319089000,-2.47,-52088000
REGN,"Regeneron Pharmaceuticals, Inc.",58741629914,14214200000,3840900000,4458600000,39.73,3853700000
AEP,"American Electric Power Company, Inc.",58367500434,20666700000,5130400000,3649700000,6.83,-3520200000
GM,General Motors Company,58305244533,187601000000,10654000000,6530000000,6.54,8219000000
CNI,Canadian National Railway Company,57975696000,12513138686,4590684882,3331386861,5.30,2322997169
SRE,Sempra,57802532219,13336000000,3035000000,2670000000,4.14,-4372000000
CMI,Cummins Inc.,57600075326,33720000000,3724000000,2941000000,21.31,1652000000
NXPI,NXP Semiconductors N.V.,56987983054,12122000000,3101000000,2148000000,8.39,2008000000
PSX,Phillips 66,56359169997,135397000000,3133000000,1718000000,4.20,1488000000
FDX,FedEx Corporation,56114927735,88591000000,5323000000,4122000000,17.07,3654000000
ALL,The Allstate Corporation,56063394862,66218000000,15906000000,5705000000,21.28,8539000000
NWG,NatWest Group plc,28343007250,21018918919,9070108946,6172972973,0.02,-10007886467
FAST,Fastenal Company,55889903248,7774400000,1562900000,1189200000,1.03,889200000
AXON,"Axon Enterprise, Inc.",55647087250,2391590000,-1503000,326306000,4.06,176455000
TRP,TC Energy Corporation,55559408847,10968613139,4951359414,3094160584,2.98,1033958235
O,Realty Income Corporation,55150943168,5462097000,2046150000,908127000,1.03,-444372000
LHX,"L3Harris Technologies, Inc.",54923548901,21373000000,2160000000,1697000000,8.95,2165000000
VLO,Valero Energy Corporation,54559765799,123779000000,952000000,764000000,2.44,2382000000
E,Eni S.p.A.,55511940746,95014583333,6142804370,2733333333,1.63,15353492708
MET,"MetLife, Inc.",54279426527,73015000000,5709000000,4091000000,5.89,15229000000
CMG,"Chipotle Mexican Grill, Inc.",53742670800,11577532000,1927295000,1541878000,1.12,1485974000
ROP,"Roper Technologies, Inc.",53732658461,7468100000,2095400000,1539600000,14.24,2283000000
ARES,Ares Management Corporation,35208151694,4827669000,840109000,406603000,1.74,3977748000
SLB,Schlumberger Limited,53062576219,35479000000,5257000000,4092000000,2.92,4161000000
VRT,Vertiv Holdings Co,52934444156,9094000000,1572700000,812300000,2.09,1242300000
BDX,"Becton, Dickinson and Company",52911430777,21386000000,2506000000,1585000000,5.48,2550000000
PCAR,PACCAR Inc,52772890896,31099600000,4621800000,3073000000,5.83,2879900000
LNG,"Cheniere Energy, Inc.",52399309037,18284000000,6877000000,3849000000,17.12,2359000000
MPLX,MPLX LP,52257699557,12162000000,5277000000,4298000000,4.21,4918000000
DEO,Diageo plc,52309227165,27732876712,4335000000,2354000000,4.23,2748000000
MFC,Manulife Financial Corporation,52280656935,28439416058,6441249238,3966423358,2.26,20515615476
SU,Suncor Energy Inc.,51713784606,36432116788,6412121813,4132116788,3.31,6085192698
D,"Dominion Energy, Inc.",51487650596,15227000000,3928000000,2284000000,2.64,-8088000000
FCX,Freeport-McMoRan Inc.,51328925291,25820000000,6916000000,1924000000,1.32,2157000000
IDXX,"IDEXX Laboratories, Inc.",50580567641,4037715000,1255158000,985656000,12.01,774337000
PSA,Public Storage,50230395854,4749463000,2211470000,1612308000,9.17,2513214000
NDAQ,"Nasdaq, Inc.",50212821627,8112000000,2080000000,1508000000,2.60,2134000000
CARR,Carrier Global Corporation,50074183729,22463000000,2443000000,4001000000,4.45,547000000
DHI,"D.R. Horton, Inc.",49846254049,34575300000,4892500000,3963300000,12.46,2808000000
BKR,Baker Hughes Company,49806613344,27609000000,3228000000,3048000000,3.06,2341000000
TCOM,Trip.com Group Limited,50100749609,7968011127,2103163455,2509735744,3.63,
WPM,Wheaton Precious Metals Corp.,49499287875,1662398000,913945000,789036000,1.74,772436000
ROST,"Ross Stores, Inc.",49304331021,21497756000,2579984000,2062836000,6.30,1761191000
FLUT,Flutter Entertainment plc,49337849307,14892000000,988000000,286000000,2.03,915000000
JD,"JD.com, Inc.",49847379752,175954798331,4243135052,5375938804,3.55,1797738605
DDOG,"Datadog, Inc.",48499986342,3016056000,-18250000,124580000,0.35,854320000
EA,Electronic Arts Inc.,48377582035,7474000000,1427000000,1042000000,4.00,1750000000
WBD,"Warner Bros. Discovery, Inc.",48302317222,38441000000,221000000,768000000,0.30,4065000000
F,Ford Motor Company,46947188734,185250000000,2941000000,3151000000,0.78,10130000000
VEEV,Veeva Systems Inc.,47577511010,2968217000,799416000,809932000,4.86,1328048000
IMO,Imperial Oil Limited,47473533249,36215328467,4398342633,3429927007,6.63,3224254436
TTWO,"Take-Two Interactive Software, Inc.",47246510697,5799200000,-4184600000,-4228800000,-24.13,-58300000
